idx,c
0,3.515701660156250000e+03
1,6.097977905273437500e+02
2,5.479732666015625000e+02
3,5.277152709960937500e+02
4,5.081612854003906250e+02
5,4.820270080566406250e+02
6,4.441947937011718750e+02
7,3.901540222167968750e+02
8,3.184705810546875000e+02
9,2.350089111328125000e+02
10,1.554628601074218750e+02
11,9.924948120117187500e+01
12,7.044657897949218750e+01
13,5.729576873779296875e+01
14,5.214855194091796875e+01
15,4.970170593261718750e+01
16,4.843968200683593750e+01
17,4.624718093872070312e+01
18,4.390571594238281250e+01
19,4.177103424072265625e+01
20,3.922320938110351562e+01
21,3.726913452148437500e+01
22,3.594602966308593750e+01
23,3.443375015258789062e+01
24,3.325773620605468750e+01
25,3.250755691528320312e+01
26,3.184720611572265625e+01
27,3.105457878112792969e+01
28,3.039402770996093750e+01
29,2.963109588623046875e+01
30,2.897972106933593750e+01
31,2.829959297180175781e+01
32,2.765652275085449219e+01
33,2.711962318420410156e+01
34,2.649368476867675781e+01
35,2.597303390502929688e+01
36,2.542967414855957031e+01
37,2.489165496826171875e+01
38,2.435766220092773438e+01
39,2.379193115234375000e+01
40,2.323980140686035156e+01
41,2.267637252807617188e+01
42,2.214121246337890625e+01
43,2.152591323852539062e+01
44,2.098959922790527344e+01
45,2.045213890075683594e+01
46,1.993799209594726562e+01
47,1.944612121582031250e+01
48,1.888002967834472656e+01
49,1.837909698486328125e+01
50,1.783370590209960938e+01
51,1.729489517211914062e+01
52,1.676328277587890625e+01
53,1.628303146362304688e+01
54,1.576767539978027344e+01
55,1.530230522155761719e+01
56,1.482480716705322266e+01
57,1.433296203613281250e+01
58,1.384715270996093750e+01
59,1.330156135559082031e+01
60,1.280027484893798828e+01
61,1.225906562805175781e+01
62,1.178526592254638672e+01
63,1.128631877899169922e+01
64,1.076606082916259766e+01
65,1.028486061096191406e+01
66,9.770469665527343750e+00
67,9.273969650268554688e+00
68,8.767592430114746094e+00
69,8.236833572387695312e+00
70,7.764287948608398438e+00
71,7.285947322845458984e+00
72,6.832336425781250000e+00
73,6.440768241882324219e+00
74,6.009408950805664062e+00
